IssueID,Title,Description,Service,Priority,Labels
TICKET-1,[bug] auth-service – Rate limiting – add validation,"Service: auth-service

Component: Rate limiting

Task:
Implement add validation for the Rate limiting module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",auth-service,P2,"auth-service,bug"
TICKET-2,[feature] clan-service – Clan creation – write integration tests,"Service: clan-service

Component: Clan creation

Task:
Implement write integration tests for the Clan creation module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",clan-service,P2,"clan-service,feature"
TICKET-3,[fix] observability – Prometheus config – add validation,"Service: observability

Component: Prometheus config

Task:
Implement add validation for the Prometheus config module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",observability,P0,"observability,fix"
TICKET-4,[bug] game-service – Game session – add OpenAPI schema,"Service: game-service

Component: Game session

Task:
Implement add OpenAPI schema for the Game session module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",game-service,P3,"game-service,bug"
TICKET-5,[bug] observability – Metrics exporters – implement controller,"Service: observability

Component: Metrics exporters

Task:
Implement implement controller for the Metrics exporters module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",observability,P3,"observability,bug"
TICKET-6,[bug] infra-devops – Build images – create Prisma schema,"Service: infra-devops

Component: Build images

Task:
Implement create Prisma schema for the Build images module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",infra-devops,P0,"infra-devops,bug"
TICKET-7,[feature] user-service – Privacy settings – create migration,"Service: user-service

Component: Privacy settings

Task:
Implement create migration for the Privacy settings module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",user-service,P3,"user-service,feature"
TICKET-8,[fix] clan-service – Clan roles – create migration,"Service: clan-service

Component: Clan roles

Task:
Implement create migration for the Clan roles module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",clan-service,P1,"clan-service,fix"
TICKET-9,[feature] social-service – Notifications events – write unit tests,"Service: social-service

Component: Notifications events

Task:
Implement write unit tests for the Notifications events module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",social-service,P3,"social-service,feature"
TICKET-10,[fix] game-service – Terrain destruction – create DTO,"Service: game-service

Component: Terrain destruction

Task:
Implement create DTO for the Terrain destruction module.

Requirements:
- Follow NestJS module structure (controller/service/module).
- Use Prisma ORM for database access.
- Follow internal REST contracts and DTO schemas.
- Ensure compatibility with BFF gateway endpoints.
- Add structured logging and error handling.

Acceptance Criteria:
- Code compiles and passes CI pipeline.
- Unit tests added where applicable.
- OpenAPI spec updated if endpoint involved.
- Docker service builds successfully.
",game-service,P2,"game-service,fix"
