IssueID,Title,Description,Service,Domain,Priority,Labels
TICKET-1,[fix] public-api – Public clans – create DTO,"Service: public-api
Component: Public clans
Domain: backend

Task:
Implement create DTO for the Public clans module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",public-api,backend,P0,"public-api,backend,fix"
TICKET-2,[fix] public-api – Public clans – write integration tests,"Service: public-api
Component: Public clans
Domain: test

Task:
Implement write integration tests for the Public clans module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",public-api,test,P1,"public-api,test,fix"
TICKET-3,[refactor] auth-service – Audit logs – implement service layer,"Service: auth-service
Component: Audit logs
Domain: backend

Task:
Implement implement service layer for the Audit logs module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",auth-service,backend,P2,"auth-service,backend,refactor"
TICKET-4,[fix] chat-service – Cursor pagination – implement service layer,"Service: chat-service
Component: Cursor pagination
Domain: backend

Task:
Implement implement service layer for the Cursor pagination module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",chat-service,backend,P3,"chat-service,backend,fix"
TICKET-5,[feature] bff-gateway – Route aggregation – add OpenAPI schema,"Service: bff-gateway
Component: Route aggregation
Domain: backend

Task:
Implement add OpenAPI schema for the Route aggregation module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",bff-gateway,backend,P1,"bff-gateway,backend,feature"
TICKET-6,[bug] game-service – Matchmaking – add OpenAPI schema,"Service: game-service
Component: Matchmaking
Domain: backend

Task:
Implement add OpenAPI schema for the Matchmaking module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",game-service,backend,P2,"game-service,backend,bug"
TICKET-7,[fix] game-service – Weapon logic – add validation,"Service: game-service
Component: Weapon logic
Domain: backend

Task:
Implement add validation for the Weapon logic module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",game-service,backend,P1,"game-service,backend,fix"
TICKET-8,[feature] security – Abuse detection – implement service layer,"Service: security
Component: Abuse detection
Domain: backend

Task:
Implement implement service layer for the Abuse detection module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",security,backend,P2,"security,backend,feature"
TICKET-9,[bug] infra-devops – Docker compose – implement service layer,"Service: infra-devops
Component: Docker compose
Domain: devops

Task:
Implement implement service layer for the Docker compose module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",infra-devops,devops,P0,"infra-devops,devops,bug"
TICKET-10,[refactor] bff-gateway – Error translation – create migration,"Service: bff-gateway
Component: Error translation
Domain: backend

Task:
Implement create migration for the Error translation module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",bff-gateway,backend,P1,"bff-gateway,backend,refactor"
TICKET-11,[refactor] bff-gateway – DTO schemas – add validation,"Service: bff-gateway
Component: DTO schemas
Domain: backend

Task:
Implement add validation for the DTO schemas module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",bff-gateway,backend,P1,"bff-gateway,backend,refactor"
TICKET-12,[feature] chat-service – Cursor pagination – create Prisma schema,"Service: chat-service
Component: Cursor pagination
Domain: backend

Task:
Implement create Prisma schema for the Cursor pagination module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",chat-service,backend,P2,"chat-service,backend,feature"
TICKET-13,[feature] chat-service – Mute threads – add validation,"Service: chat-service
Component: Mute threads
Domain: backend

Task:
Implement add validation for the Mute threads module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",chat-service,backend,P0,"chat-service,backend,feature"
TICKET-14,[fix] clan-service – Clan creation – write integration tests,"Service: clan-service
Component: Clan creation
Domain: test

Task:
Implement write integration tests for the Clan creation module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",clan-service,test,P2,"clan-service,test,fix"
TICKET-15,[feature] game-service – Projectile simulation – add OpenAPI schema,"Service: game-service
Component: Projectile simulation
Domain: backend

Task:
Implement add OpenAPI schema for the Projectile simulation module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",game-service,backend,P2,"game-service,backend,feature"
TICKET-16,[refactor] chat-service – Mute threads – create DTO,"Service: chat-service
Component: Mute threads
Domain: backend

Task:
Implement create DTO for the Mute threads module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",chat-service,backend,P1,"chat-service,backend,refactor"
TICKET-17,[fix] game-service – Matchmaking – add validation,"Service: game-service
Component: Matchmaking
Domain: backend

Task:
Implement add validation for the Matchmaking module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",game-service,backend,P0,"game-service,backend,fix"
TICKET-18,[feature] observability – Grafana dashboards – create Prisma schema,"Service: observability
Component: Grafana dashboards
Domain: devops

Task:
Implement create Prisma schema for the Grafana dashboards module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",observability,devops,P3,"observability,devops,feature"
TICKET-19,[bug] infra-devops – Service containers – implement service layer,"Service: infra-devops
Component: Service containers
Domain: devops

Task:
Implement implement service layer for the Service containers module.

Requirements:
- NestJS module structure (controller/service/module)
- Prisma ORM usage where persistence is required
- REST contracts aligned with BFF gateway
- Structured logging
- Proper error handling

Acceptance Criteria:
- Code builds successfully in CI
- Tests added when applicable
- OpenAPI updated for API endpoints
- Docker container builds successfully
",infra-devops,devops,P0,"infra-devops,devops,bug"
